links	date_c
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/173.html	11/21/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/174.html	11/22/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/175.html	11/25/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/176.html	11/26/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9111/177.html	11/27/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/178.html	12/2/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/179.html	12/3/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/180.html	12/4/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/181.html	12/5/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/182.html	12/6/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/183.html	12/9/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/184.html	12/10/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/185.html	12/11/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/186.html	12/16/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/187.html	12/17/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/188.html	12/18/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/189.html	12/20/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/190.html	12/23/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/191.html	12/27/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1991/9112/192.html	12/30/91
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/001.html	1/3/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/002.html	1/6/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/003.html	1/7/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/004.html	1/8/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/005.html	1/9/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/006.html	1/10/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/007.html	1/13/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/008.html	1/14/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/009.html	1/15/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/010.html	1/16/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/011.html	1/17/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/012.html	1/21/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/013.html	1/24/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/014.html	1/27/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/015.html	1/29/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/016.html	1/30/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9201/017.html	1/31/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/018.html	2/3/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/019.html	2/4/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/020.html	2/7/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/021.html	2/10/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/023.html	2/11/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/023.html	2/12/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/024.html	2/14/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/025.html	2/18/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/026.html	2/19/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/027.html	2/20/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/028.html	2/21/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/029.html	2/26/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/030.html	2/27/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9202/031.html	2/28/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/032.html	3/2/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/033.html	3/4/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/034.html	3/6/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/035.html	3/9/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/036.html	3/12/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/037.html	3/13/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/038.html	3/16/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/039.html	3/17/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/040.html	3/18/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/041.html	3/19/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/042.html	3/20/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/043.html	3/23/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/044.html	3/24/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/045.html	3/25/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/046.html	3/26/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/047.html	3/27/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/048.html	3/30/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9203/049.html	3/31/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/050.html	4/2/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/051.html	4/3/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/052.html	4/6/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/053.html	4/7/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/054.html	4/8/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/055.html	4/13/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/056.html	4/14/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/057.html	4/15/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/058.html	4/16/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/059.html	4/20/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/060.html	4/22/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/061.html	4/23/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/062.html	4/24/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/063.html	4/27/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/064.html	4/28/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9204/065.html	4/29/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/066.html	5/1/92
http://dosfan.lib.uic.edu/ERC/briefing/daily_briefings/1992/9205/067.html	5/4/92
